tahun,sarana_angkut,jumlah
2007,Gerobak Sampah,7335
2007,Gerobak Celeng,1890
2007,Truk Tinja,121
2007,Mobil Toilet,26
2007,Truk Tangki Air,4
2008,Gerobak Sampah,5377
2008,Gerobak Celeng,1423
2008,Truk Tinja,121
2008,Mobil Toilet,26
2008,Truk Tangki Air,4
2009,Gerobak Sampah,6562
2009,Gerobak Celeng,987
2009,Truk Tinja,105
2009,Mobil Toilet,2
2009,Truk Tangki Air,3
2010,Gerobak Sampah,7372
2010,Gerobak Celeng,364
2010,Truk Tinja,83
2010,Mobil Toilet,4
2010,Truk Tangki Air,5
2011,Gerobak Sampah,4320
2011,Gerobak Celeng,1080
2011,Truk Tinja,116
2011,Mobil Toilet,4
2011,Truk Tangki Air,4
